t (s),DD (1/s),D3He (1/s),3He3He (1/s)
1.64002176847e-09,1.60597065664e+13,2563782371.11,0.00573957505117
1.65002176847e-09,1.35757772671e+13,1990858821.47,0.0035598516082
1.66002176847e-09,1.19469317324e+13,1649689967.47,0.00251167716398
1.67002176847e-09,9.72443539019e+12,1227676412.01,0.00146708186814
1.68002176847e-09,8.60202442415e+12,1026532316.57,0.00105217075656
1.69002176847e-09,7.12101681329e+12,775640277.515,0.000618269245585
1.70002176847e-09,6.18137859496e+12,632240914.481,0.000423077017165
1.71002176847e-09,5.16273136355e+12,488239804.114,0.000262129388044
1.72002176847e-09,4.68902145258e+12,420180435.853,0.000193635293132
1.73002176847e-09,3.96394527273e+12,330302987.374,0.000123652331828
1.74002176847e-09,3.51033449574e+12,277322775.771,8.90225513049e-05
1.75002176847e-09,2.99216114195e+12,218900886.889,5.61782740813e-05
1.76002176847e-09,2.63101727548e+12,182119239.915,3.97295767288e-05
1.77002176847e-09,2.118436056e+12,134421452.179,2.26566220507e-05
1.78002176847e-09,1.84594366398e+12,109705303.935,1.51927713743e-05
1.79002176847e-09,1.62167532642e+12,90926774.7872,1.05604974385e-05
1.80002176847e-09,1.33207207984e+12,69147113.1211,6.347801564e-06
1.81002176847e-09,1.40929942317e+12,73490462.6044,6.83896996838e-06
1.82002176847e-09,1.084354399e+12,51128327.5941,3.48655466031e-06
1.83002176847e-09,916082528446.0,39988802.821,2.14278794263e-06
1.84002176847e-09,813986896443.0,33865484.9339,1.55942488789e-06
1.85002176847e-09,649022705160.0,24767977.9672,8.66226013447e-07
1.86002176847e-09,579857167271.0,20970895.5664,6.17009994477e-07
1.87002176847e-09,500891296049.0,17099069.6491,4.17185513441e-07
1.88002176847e-09,442439370988.0,14281471.0227,2.90183951174e-07
1.89002176847e-09,377396691383.0,11461906.7468,1.90546656466e-07
1.90002176847e-09,320032103720.0,9128221.48473,1.23116970921e-07
1.91002176847e-09,298263440788.0,8250583.25995,1.00425426542e-07
1.92002176847e-09,251019762619.0,6509834.04718,6.37340174143e-08
1.93002176847e-09,210309239973.0,5105289.68937,3.99065244464e-08
1.94002176847e-09,180862630075.0,4141285.76151,2.64774804126e-08
1.95002176847e-09,159595389028.0,3485654.06989,1.89200248881e-08
1.96002176847e-09,138866544502.0,2879887.94349,1.30468328866e-08
1.97002176847e-09,120765735082.0,2378219.46098,8.98085009406e-09
1.98002176847e-09,105195920425.0,1959614.52593,6.08372759164e-09
1.99002176847e-09,96813472075.1,1746524.42379,4.83674583053e-09
